,Jp_name,category
0,アマランサス　玄穀,穀物
1,あわ　精白粒,穀物
2,あわ　あわもち,穀物
3,えんばく オートミール,穀物
4,おおむぎ 七分つき押麦,穀物
5,おおむぎ　押麦,穀物
6,おおむぎ　米粒麦,穀物
7,おおむぎ　大麦めん,穀物
8,おおむぎ　麦こがし,穀物
9,きび　精白粒,穀物
10,こむぎ,穀物
11,こむぎ　　薄力粉,穀物
12,こむぎ　　中力粉,穀物
13,こむぎ　　強力粉,穀物
14,こむぎ　　強力粉　全粒粉,穀物
15,こむぎ　　プレミックス粉　お好み用,穀物
16,こむぎ　　プレミックス粉　ホットケーキ用,穀物
17,こむぎ　　プレミックス粉　から揚げ用,穀物
18,こむぎ　　プレミックス粉　天ぷら用,穀物
19,こむぎ　　食パン,穀物
20,こむぎ　　コッペパン,穀物
21,こむぎ　　パン,穀物
22,こむぎ　　フランスパン,穀物
23,こむぎ　　ライ麦パン,穀物
24,こむぎ　　ぶどうパン,穀物
25,こむぎ　　ロールパン,穀物
26,こむぎ　　クロワッサン,穀物
27,こむぎ　　イングリッシュマフィン,穀物
28,こむぎ　　ナン,穀物
29,こむぎ　　ベーグル,穀物
30,こむぎ　　うどん,穀物
31,こむぎ　　干しうどん,穀物
32,こむぎ　　そうめん・ひやむぎ,穀物
33,こむぎ　　手延そうめん・手延ひやむぎ,穀物
34,こむぎ　　中華めん,穀物
35,こむぎ　　干し中華めん,穀物
36,こむぎ　　沖縄そば,穀物
37,こむぎ　　干し沖縄そば,穀物
38,こむぎ　　即席中華めん　油揚げ,穀物
39,こむぎ　　即席中華めん　非油揚げ,穀物
40,こむぎ　　中華スタイル即席カップめん　油揚げ,穀物
41,こむぎ　　中華スタイル即席カップめん　油揚げ　そば,穀物
42,こむぎ　　中華スタイル即席カップめん　非油揚げ,穀物
43,こむぎ　　和風スタイル即席カップめん　油揚げ,穀物
44,こむぎ　　マカロニ・スパゲッティ,穀物
45,こむぎ　　パスタ,穀物
46,こむぎ　　ふ,穀物
47,こむぎ　　ふ　釜ふ,穀物
48,こむぎ　　ふ　板ふ,穀物
49,こむぎ　　ふ　車ふ,穀物
50,こむぎ　　小麦はいが,穀物
51,こむぎ　　小麦たんぱく　粉末状,穀物
52,こむぎ　　小麦たんぱく　粒状,穀物
53,こむぎ　　小麦たんぱく　ペースト状,穀物
54,こむぎ　　ぎょうざの皮,穀物
55,こむぎ　　しゅうまいの皮,穀物
56,こむぎ　　ピザ地,穀物
57,こむぎ　　ちくわぶ,穀物
